,OFFER EXCEPT SALE SUBJECT TO FINAL CONFIRMATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,VINTAGE,WINE,Appellation,COLOR,Classement,QUANTITY,Volume,PACKAGING,PRICE,R. Parker
2,2014,CH. SENEJAC,HAUT MEDOC,RED,-,600,BT,CT6,7.8,89-91
3,2014,CARMES DE RIEUSSEC,SAUTERNES,SWEET,2nd,600,DM,CT12,7.25,88-90
4,2014,CH. PRIEURE LICHINE,MARGAUX,RED,4CC,360,BT,CB6,22,90-92
5,2014,CH. TOUR CARNET (LA),HAUT MEDOC,RED,5CC,360,BT,CB6,19,86-88
6,2014,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,-,600,BT,CT12,10.2,88-90
7,2014,CH. MONBOUSQUET ROUGE,SAINT EMILION GRAND CRU,RED,CC,360,BT,CB6,27.5,89-91
8,2014,CH. LALANDE BORIE,SAINT JULIEN,RED,-,360,BT,CB12,18,87-89
9,2014,CH. CAMENSAC,HAUT MEDOC,RED,5CC,360,BT,CB12,15,88-90
10,2014,CH. LAGRANGE,SAINT JULIEN,RED,3CC,360,BT,CB12,24,87-89
11,2014,CH. DUHART MILON ROTHSCHILD,PAUILLAC,RED,4CC,360,BT,CB6,43,89-91
12,2014,CH. FLEUR CARDINALE,SAINT EMILION GRAND CRU,RED,CC,360,BT,CB12,24,89-91
13,2014,MARQUIS DE CALON SEGUR (LE),SAINT ESTEPHE,RED,2nd,360,BT,CB6,16,86-88
14,2014,CH. POUJEAUX,MOULIS,RED,-,360,BT,CB12,16.8,89-91
15,2014,CH. LATOUR MARTILLAC ROUGE,PESSAC LEOGNAN,RED,CC,360,BT,CB12,18.9,90-93
16,2014,CH. PAVIE,SAINT EMILION GRAND CRU,RED,CC1A,240,BT,CB6,180,94-96
17,2014,ALTER EGO,MARGAUX,RED,2nd,240,BT,CB6,38.5,90-92
18,2014,CARMES DE RIEUSSEC,SAUTERNES,SWEET,2nd,360,BT,CT6,14.5,88-90
19,2014,CH. LARRIVET HAUT BRION ROUGE,PESSAC LEOGNAN,RED,-,240,BT,CB6,18.1,86-88
20,2014,CH. THIL (LE),PESSAC LEOGNAN,RED,-,240,BT,CB12,13.8,-
21,2014,CH. PICQUE CAILLOU ROUGE,PESSAC LEOGNAN,RED,-,240,BT,CB6,10.9,-
22,2014,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,240,BT,CB12,19.5,-
23,2014,CROIX DE BEAUCAILLOU (LA),SAINT JULIEN,RED,2nd,240,BT,CB12,27,90-92
24,2014,CH. SMITH HAUT LAFITTE ROUGE,PESSAC LEOGNAN,RED,CC,120,BT,CB12,45.6,92-94
25,2014,CH. LOUVIERE BLANC (LA),PESSAC LEOGNAN,WHITE,-,300,BT,CB12,16.2,-
26,2014,CH. LOUVIERE ROUGE (LA),PESSAC LEOGNAN,RED,-,300,BT,CB12,16.2,-
27,2014,CH. FONROQUE,SAINT EMILION GRAND CRU,RED,CC,120,BT,CB12,15,91-93
28,2014,CH. FLEUR PEYRABON (LA),PAUILLAC,RED,CC,120,BT,CB6,13.2,89-91
29,2014,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,180,BT,CB12,24,89-91
30,2014,CH. MARQUIS D'ALESME,MARGAUX,RED,3CC,120,BT,CB12,29.5,90-92
31,2014,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,120,BT,CB6,29,91-93
32,2014,CH. LANESSAN,HAUT MEDOC,RED,-,120,BT,CT12,9.1,86-88
33,2014,CH. PHELAN SEGUR,SAINT ESTEPHE,RED,-,120,BT,CB12,22.8,89-91+
34,2014,BLASON D'ISSAN,MARGAUX,RED,2nd,180,BT,CB12,14.5,83-85
35,2014,CH. COTE DE BALEAU,SAINT EMILION GRAND CRU,RED,CC,180,BT,CB12,13.2,87-89
36,2014,CH. GLORIA,SAINT JULIEN,RED,-,180,BT,CB6,21,88
37,2014,CH. LASCOMBES,MARGAUX,RED,2CC,120,BT,CB12,42,-
38,2014,CH. COS D'ESTOURNEL,SAINT ESTEPHE,RED,2CC,120,BT,CB6,84.5,93-95
39,2014,CH. CORBIN,SAINT EMILION GRAND CRU,RED,CC,120,BT,CB12,17.4,85-87
40,2014,CH. MAUVESIN BARTON,MOULIS,RED,-,120,BT,CB12,9.3,88-90
41,2014,CH. MONT PERAT ROUGE,CÔTES DE BORDEAUX,RED,-,120,BT,CB12,8.6,88-90
42,2014,CH. CARBONNIEUX BLANC,PESSAC LEOGNAN,WHITE,CC,120,BT,CB12,21,90-92
43,2014,PARDE HAUT BAILLY (LA),PESSAC LEOGNAN,RED,2nd,180,BT,CB12,15,85-87
44,2014,CH. OLIVIER BLANC,PESSAC LEOGNAN,WHITE,CC,180,BT,CB6,18,90-92
45,2014,CH. FOMBRAUGE,SAINT EMILION GRAND CRU,RED,CC,120,BT,CB6,16.5,89-91
46,2014,ECHO DE LYNCH BAGES,PAUILLAC,RED,2nd,120,BT,CB12,21.6,84-86
47,2014,CH. LYNCH MOUSSAS,PAUILLAC,RED,5CC,120,BT,CB6,21,90-92
48,2014,CH. LILIAN LADOUYS,SAINT ESTEPHE,RED,-,120,BT,CB6,11.1,90-92
49,2014,CH. HAUT BAGES LIBERAL,PAUILLAC,RED,5CC,120,BT,CB12,24,88-91
50,2014,CH. CAMBON LA PELOUSE,HAUT MEDOC,RED,-,120,BT,CB12,9.3,81-83?
51,2014,CH. MALARTIC LAGRAVIERE ROUGE,PESSAC LEOGNAN,RED,CC,120,BT,CB6,29,91-93
52,2014,CH. TERTRE (DU),MARGAUX,RED,5CC,120,BT,CB12,20.4,90-92
53,2014,CH. TROIS CROIX (LES),FRONSAC,RED,-,120,BT,CB12,10.8,86-88
54,2014,CH. VILLA BEL AIR,GRAVES,RED,-,360,BT,CB6,7.9,-
